Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Mali,6/25/2015,0,1,7,8,,,,6
Spain,6/25/2015,0,0,1,1,0,0,0,0
United Kingdom,6/25/2015,0,0,1,1,,,,0
Liberia,6/25/2015,5636,1879,3151,10666,,,,4806
United States of America,6/25/2015,0,0,4,4,0,0,1,1
Guinea,6/25/2015,11,443,3264,3718,,443,2037,2480
Italy,6/25/2015,0,0,1,1,,,,0
Guinea,6/26/2015,11,443,3266,3720,,443,2037,2480
Spain,6/26/2015,0,0,1,1,0,0,0,0
Senegal,6/26/2015,0,0,1,1,0,0,0,0
Italy,6/26/2015,0,0,1,1,,,,0
Sierra Leone,6/26/2015,4144,287,8662,13093,158,208,3565,3931
Liberia,6/26/2015,5636,1879,3151,10666,,,,4806
United Kingdom,6/26/2015,0,0,1,1,,,,0
Mali,6/26/2015,0,1,7,8,,,,6
Nigeria,6/26/2015,0,1,19,20,0,1,7,8
United States of America,6/26/2015,0,0,4,4,0,0,1,1
Senegal,6/29/2015,0,0,1,1,0,0,0,0
United Kingdom,6/29/2015,0,0,1,1,,,,0
Nigeria,6/29/2015,0,1,19,20,0,1,7,8
Guinea,6/29/2015,13,443,3268,3724,,443,2039,2482
Sierra Leone,6/29/2015,4164,287,8664,13115,158,208,3566,3932
Mali,6/29/2015,0,1,7,8,,,,6
Spain,6/29/2015,0,0,1,1,0,0,0,0
Liberia,6/29/2015,5636,1879,3151,10666,,,,4806
United States of America,6/29/2015,0,0,4,4,0,0,1,1
Italy,6/29/2015,0,0,1,1,,,,0
United Kingdom,6/30/2015,0,0,1,1,,,,0
Mali,6/30/2015,0,1,7,8,,,,6
Liberia,6/30/2015,5636,1879,3151,10666,,,,4806
Sierra Leone,6/30/2015,4167,287,8665,13119,158,208,3566,3932
Italy,6/30/2015,0,0,1,1,,,,0
Senegal,6/30/2015,0,0,1,1,0,0,0,0
Guinea,6/30/2015,17,443,3269,3729,,443,2039,2482
Spain,6/30/2015,0,0,1,1,0,0,0,0
Nigeria,6/30/2015,0,1,19,20,0,1,7,8
United States of America,6/30/2015,0,0,4,4,0,0,1,1
Sierra Leone,7/1/2015,4167,287,8665,13119,158,208,3566,3932
Senegal,7/1/2015,0,0,1,1,0,0,0,0
Spain,7/1/2015,0,0,1,1,0,0,0,0
United Kingdom,7/1/2015,0,0,1,1,,,,0
Guinea,7/1/2015,17,443,3269,3729,,443,2039,2482
Italy,7/1/2015,0,0,1,1,,,,0
Liberia,7/1/2015,5636,1879,3151,10666,,,,4806
United States of America,7/1/2015,0,0,4,4,0,0,1,1
Nigeria,7/1/2015,0,1,19,20,0,1,7,8
Mali,7/1/2015,0,1,7,8,,,,6
Senegal,7/2/2015,0,0,1,1,0,0,0,0
Italy,7/2/2015,0,0,1,1,,,,0
Liberia,7/2/2015,5636,1879,3151,10666,,,,4806
Guinea,7/2/2015,18,450,3277,3745,,450,2040,2490
United States of America,7/2/2015,0,0,4,4,0,0,1,1
Spain,7/2/2015,0,0,1,1,0,0,0,0
Nigeria,7/2/2015,0,1,19,20,0,1,7,8
Mali,7/2/2015,0,1,7,8,,,,6
Sierra Leone,7/2/2015,4174,287,8668,13129,158,208,3567,3933
United Kingdom,7/2/2015,0,0,1,1,,,,0
Liberia,7/3/2015,5636,1879,3151,10666,,,,4806
United Kingdom,7/3/2015,0,0,1,1,,,,0
Nigeria,7/3/2015,0,1,19,20,0,1,7,8
Senegal,7/3/2015,0,0,1,1,0,0,0,0
United States of America,7/3/2015,0,0,4,4,0,0,1,1
Guinea,7/3/2015,21,450,3279,3750,,450,2042,2492
Italy,7/3/2015,0,0,1,1,,,,0
Liberia,7/3/2015,37,0,3,40,4,0,1,5
Spain,7/3/2015,0,0,1,1,0,0,0,0
Mali,7/3/2015,0,1,7,8,,,,6
Sierra Leone,7/3/2015,4177,287,8671,13135,158,208,3569,3935
United Kingdom,7/6/2015,0,0,1,1,,,,0
Spain,7/6/2015,0,0,1,1,0,0,0,0
Guinea,7/6/2015,7,450,3287,3744,,450,2048,2498
United States of America,7/6/2015,0,0,4,4,0,0,1,1
Liberia,7/6/2015,,1,3,4,,,1,1
Nigeria,7/6/2015,0,1,19,20,0,1,7,8
Mali,7/6/2015,0,1,7,8,,,,6
Sierra Leone,7/6/2015,4190,287,8673,13150,158,208,3574,3940
Senegal,7/6/2015,0,0,1,1,0,0,0,0
Liberia,7/6/2015,5636,1879,3151,10666,,,,4806
Italy,7/6/2015,0,0,1,1,,,,0
Italy,7/7/2015,0,0,1,1,,,,0
Spain,7/7/2015,0,0,1,1,0,0,0,0
Liberia,7/7/2015,,1,3,4,,,1,1
Nigeria,7/7/2015,0,1,19,20,0,1,7,8
United States of America,7/7/2015,0,0,4,4,0,0,1,1
Sierra Leone,7/7/2015,4194,287,8674,13155,158,208,3574,3940
Senegal,7/7/2015,0,0,1,1,0,0,0,0
Liberia,7/7/2015,5636,1879,3151,10666,,,,4806
Guinea,7/7/2015,11,450,3287,3748,,450,2049,2499
Mali,7/7/2015,0,1,7,8,,,,6
United Kingdom,7/7/2015,0,0,1,1,,,,0
Nigeria,7/8/2015,0,1,19,20,0,1,7,8
Liberia,7/8/2015,,1,3,4,,,1,1
United States of America,7/8/2015,0,0,4,4,0,0,1,1
